Region,2024 (current prices),Unnamed: 39,Omitted countries,year,value
Western Europe,397.3816143681436,,,2004,281.7818651401694
Middle East,243.32818991656828,,"Syria, Yemen, North, Yemen",2004,98.41859022349625
World,2718.18371875139,,,2005,1621.8404281137427
Africa,52.052914894152046,,"Djibouti, Eritrea, Somalia",2005,29.69366416098441
North Africa,30.201147045776676,,,2005,7.8592546952496285
sub-Saharan Africa,21.851767848375367,,,2005,21.834409465734787
Americas,1100.039531310176,,Cuba,2005,891.4350258362543
Central America and the Caribbean,19.781283367512405,,,2005,5.478568604984859
North America,1026.655897810219,,,2005,849.0417468055056
South America,53.602350132444535,,,2005,36.91471042576402
Asia & Oceania,629.3213604929684,,"Korea, North, Laos, Turkmenistan, Uzbekistan",2005,248.06447099716573
Oceania,36.98674327781575,,,2005,20.514553635042958
South Asia,102.3815205919318,,,2005,49.449128899612035
East Asia,433.1594053700567,,,2005,150.8380392937463
South East Asia,54.86528321337011,,,2005,26.264200325745605
Central Asia,1.9284080397939944,,,2005,0.9985488430188951
Europe,693.4417221375255,,,2005,345.5373672034193
Central Europe,74.9747613412554,,,2005,25.783738094601585
Eastern Europe,221.0853464281265,,,2005,40.03368282461346
Western Europe,397.3816143681436,,,2005,279.7199462842043
Middle East,243.32818991656828,,"Syria, Yemen, North, Yemen",2005,107.10989991591907
World,2718.18371875139,,,2006,1665.8403502507692
Africa,52.052914894152046,,"Djibouti, Eritrea, Somalia",2006,31.698143002519956
North Africa,30.201147045776676,,,2006,7.882824489189557
sub-Saharan Africa,21.851767848375367,,,2006,23.8153185133304
Americas,1100.039531310176,,Cuba,2006,905.825061846505
Central America and the Caribbean,19.781283367512405,,,2006,5.314933523056961
North America,1026.655897810219,,,2006,861.8251719988785
South America,53.602350132444535,,,2006,38.684956324569356
Asia & Oceania,629.3213604929684,,"Korea, North, Laos, Turkmenistan, Uzbekistan",2006,262.53101603019326
Oceania,36.98674327781575,,,2006,21.71155754893421
South Asia,102.3815205919318,,,2006,50.124779748010155
East Asia,433.1594053700567,,,2006,162.32827054926108
South East Asia,54.86528321337011,,,2006,27.219616970484562
Central Asia,1.9284080397939944,,,2006,1.14679121350318
Europe,693.4417221375255,,,2006,351.0523104700857
Central Europe,74.9747613412554,,,2006,26.1849238669833
Eastern Europe,221.0853464281265,,,2006,45.24640385448546
Western Europe,397.3816143681436,,,2006,279.62098274861694
Middle East,243.32818991656828,,"Syria, Yemen, North, Yemen",2006,114.7338189014653
World,2718.18371875139,,,2007,1733.0714343464022
Africa,52.052914894152046,,"Djibouti, Eritrea, Somalia",2007,33.67782921404461
North Africa,30.201147045776676,,,2007,8.54611655466694
sub-Saharan Africa,21.851767848375367,,,2007,25.131712659377673
Americas,1100.039531310176,,Cuba,2007,933.9004070202525
Central America and the Caribbean,19.781283367512405,,,2007,6.717127398038152
North America,1026.655897810219,,,2007,885.9608394483251
South America,53.602350132444535,,,2007,41.22244017388914
Asia & Oceania,629.3213604929684,,"Korea, North, Laos, Turkmenistan, Uzbekistan",2007,278.45112479030166
Oceania,36.98674327781575,,,2007,22.964672605461825
South Asia,102.3815205919318,,,2007,51.078054284643024
East Asia,433.1594053700567,,,2007,172.31023591544385
South East Asia,54.86528321337011,,,2007,30.464213366421557
Central Asia,1.9284080397939944,,,2007,1.6339486183313863
Europe,693.4417221375255,,,2007,360.49032338541224
Central Europe,74.9747613412554,,,2007,27.80589611677938
Eastern Europe,221.0853464281265,,,2007,50.25123407975356
Western Europe,397.3816143681436,,,2007,282.4331931888793
Middle East,243.32818991656828,,"Syria, Yemen, North, Yemen",2007,126.55174993639143
World,2718.18371875139,,,2008,1836.924968445108
Africa,52.052914894152046,,"Djibouti, Eritrea, Somalia",2008,39.63429868809565
North Africa,30.201147045776676,,,2008,10.08237237543034
sub-Saharan Africa,21.851767848375367,,,2008,29.551926312665305
Americas,1100.039531310176,,Cuba,2008,1001.9902682197376
Central America and the Caribbean,19.781283367512405,,,2008,6.836939969304456
North America,1026.655897810219,,,2008,950.5052218963491
South America,53.602350132444535,,,2008,44.648106354083964
Asia & Oceania,629.3213604929684,,"Korea, North, Laos, Turkmenistan, Uzbekistan",2008,296.06784586482485
Oceania,36.98674327781575,,,2008,23.621382612931956
South Asia,102.3815205919318,,,2008,56.41639086036546
East Asia,433.1594053700567,,,2008,183.0048710711846
South East Asia,54.86528321337011,,,2008,31.463361435808142
Central Asia,1.9284080397939944,,,2008,1.5618398845346946
Europe,693.4417221375255,,,2008,370.1873646254506
Central Europe,74.9747613412554,,,2008,26.660211759744016
Eastern Europe,221.0853464281265,,,2008,54.88243826990822
Western Europe,397.3816143681436,,,2008,288.64471459579835
Middle East,243.32818991656828,,"Syria, Yemen, North, Yemen",2008,129.04519104699918
World,2718.18371875139,,,2009,1963.322875879956
Africa,52.052914894152046,,"Djibouti, Eritrea, Somalia",2009,40.050609100058345
North Africa,30.201147045776676,,,2009,11.133150085150811
sub-Saharan Africa,21.851767848375367,,,2009,28.917459014907532
Americas,1100.039531310176,,Cuba,2009,1079.9355585494282
Central America and the Caribbean,19.781283367512405,,,2009,7.88651668390508
North America,1026.655897810219,,,2009,1024.6051006171672
South America,53.602350132444535,,,2009,47.443941248355756
Asia & Oceania,629.3213604929684,,"Korea, North, Laos, Turkmenistan, Uzbekistan",2009,334.37527798128804
Oceania,36.98674327781575,,,2009,25.366595216185214
South Asia,102.3815205919318,,,2009,65.30769517391944
East Asia,433.1594053700567,,,2009,208.78586804796734
South East Asia,54.86528321337011,,,2009,33.41270828001143
Central Asia,1.9284080397939944,,,2009,1.5024112632046853
Europe,693.4417221375255,,,2009,375.5167315781309
Central Europe,74.9747613412554,,,2009,25.60901346458426
Eastern Europe,221.0853464281265,,,2009,56.14051125561368
Western Europe,397.3816143681436,,,2009,293.76720685793293
Middle East,243.32818991656828,,"Syria, Yemen, North, Yemen",2009,133.4446986710507
World,2718.18371875139,,,2010,2003.1997370526742
Africa,52.052914894152046,,"Djibouti, Eritrea, Somalia",2010,41.30595491303848
North Africa,30.201147045776676,,,2010,12.08606477536296
sub-Saharan Africa,21.851767848375367,,,2010,29.219890137675502
Americas,1100.039531310176,,Cuba,2010,1110.0098572610868
Central America and the Caribbean,19.781283367512405,,,2010,7.63032834090511
North America,1026.655897810219,,,2010,1051.1355783258407
South America,53.602350132444535,,,2010,51.2439505943413
Asia & Oceania,629.3213604929684,,"Korea, North, Laos, Turkmenistan, Uzbekistan",2010,342.98877181715073
Oceania,36.98674327781575,,,2010,25.655631198318545
South Asia,102.3815205919318,,,2010,66.15297334677231
East Asia,433.1594053700567,,,2010,214.8415542192198
South East Asia,54.86528321337011,,,2010,34.66338699837585
Central Asia,1.9284080397939944,,,2010,1.675226054464209
Europe,693.4417221375255,,,2010,367.97466700945995
Central Europe,74.9747613412554,,,2010,24.731576471173508
Eastern Europe,221.0853464281265,,,2010,56.97899483282689
Western Europe,397.3816143681436,,,2010,286.26409570545957
Middle East,243.32818991656828,,"Syria, Yemen, North, Yemen",2010,140.92048605193804
World,2718.18371875139,,,2011,2006.2301892023254
Africa,52.052914894152046,,"Djibouti, Eritrea, Somalia",2011,45.15285306338674
North Africa,30.201147045776676,,,2011,15.2416822429678
sub-Saharan Africa,21.851767848375367,,,2011,29.91117082041895
Americas,1100.039531310176,,Cuba,2011,1098.0404878168063
Central America and the Caribbean,19.781283367512405,,,2011,8.224480562686482
North America,1026.655897810219,,,2011,1039.5961595490994
South America,53.602350132444535,,,2011,50.219847705020356
